updated_at,created_at,commenter,pr_author,pr_id,comment_id,Code
2023-09-30 14:18:33-07:00,2023-09-30 14:18:33-07:00,douglascooley,tasha97,43,1651749487,Approving
2023-09-30 14:18:38-07:00,2023-09-30 14:18:38-07:00,robinsondonald,tasha97,43,1651749493,Encouraging
2023-09-30 14:18:49-07:00,2023-09-30 14:18:49-07:00,ihammond,tasha97,43,1651749512,Approving
2023-10-14 16:07:10-07:00,2023-10-14 16:07:10-07:00,robinsondonald,tasha97,46,1678511220,Updating
2023-10-14 16:11:04-07:00,2023-10-14 16:11:04-07:00,douglascooley,tasha97,46,1678511446,Approving
2023-10-17 12:38:23-07:00,2023-10-17 12:38:23-07:00,robinsondonald,tasha97,47,1683220547,Approving
2023-10-17 12:40:15-07:00,2023-10-17 12:40:15-07:00,ihammond,tasha97,47,1683223132,Agreeing
2023-10-19 13:48:00-07:00,2023-10-19 13:48:00-07:00,douglascooley,tasha97,48,1688623871,Approving
2023-10-19 13:49:43-07:00,2023-10-19 13:49:43-07:00,pamela21,tasha97,48,1688626126,Approving
2023-10-19 14:09:59-07:00,2023-10-19 14:09:59-07:00,douglascooley,tasha97,50,1688652822,Approving
2023-10-19 14:10:43-07:00,2023-10-19 14:10:43-07:00,pamela21,tasha97,50,1688653719,Approving
2023-10-22 19:07:04-07:00,2023-10-22 19:07:04-07:00,robinsondonald,douglascooley,51,1691599233,Approving
2023-10-23 20:15:10-07:00,2023-10-23 20:15:10-07:00,ihammond,douglascooley,51,1693883366,Asking
2023-10-24 12:52:35-07:00,2023-10-24 12:52:35-07:00,douglascooley,robinsondonald,52,1695768727,Criticizing
2023-10-24 12:54:32-07:00,2023-10-24 12:54:32-07:00,ihammond,robinsondonald,52,1695771618,Approving
2023-10-28 15:38:52-07:00,2023-10-28 15:38:52-07:00,douglascooley,robinsondonald,53,1702859056,Approving
2023-10-28 15:39:17-07:00,2023-10-28 15:39:17-07:00,ihammond,robinsondonald,53,1702859084,Approving
2023-10-28 16:29:06-07:00,2023-10-28 16:29:06-07:00,douglascooley,tasha97,55,1702861924,Approving
2023-10-28 16:30:11-07:00,2023-10-28 16:30:11-07:00,ihammond,tasha97,55,1702861974,Approving
2023-10-28 16:58:35-07:00,2023-10-28 16:58:35-07:00,tasha97,douglascooley,56,1702863505,Approving
2023-10-28 16:58:44-07:00,2023-10-28 16:58:44-07:00,robinsondonald,douglascooley,56,1702863518,Approving
2023-10-28 16:59:34-07:00,2023-10-28 16:59:34-07:00,tasha97,douglascooley,56,1702863575,Approving
2023-10-31 12:26:45-07:00,2023-10-31 12:26:45-07:00,douglascooley,tasha97,59,1707091650,Approving
2023-10-31 12:27:18-07:00,2023-10-31 12:27:18-07:00,ihammond,tasha97,59,1707093026,Approving
2023-11-01 16:51:17-07:00,2023-11-01 16:51:17-07:00,robinsondonald,douglascooley,60,1709236003,Approving
2023-11-01 16:51:17-07:00,2023-11-01 16:51:17-07:00,robinsondonald,douglascooley,60,1709236003,Thanking
2023-11-01 22:08:03-07:00,2023-11-01 22:08:03-07:00,pamela21,douglascooley,61,1709463223,Approving
2023-11-01 23:08:04-07:00,2023-11-01 23:08:04-07:00,ihammond,douglascooley,61,1709513362,Approving
2023-11-02 12:14:09-07:00,2023-11-02 12:14:09-07:00,tasha97,ihammond,62,1711070997,Approving
2023-11-02 12:16:39-07:00,2023-11-02 12:16:39-07:00,robinsondonald,ihammond,62,1711074232,Encouraging
2023-11-11 14:25:19-08:00,2023-11-11 14:25:19-08:00,robinsondonald,ihammond,63,1726135396,Complimenting
2023-11-11 14:25:19-08:00,2023-11-11 14:25:19-08:00,robinsondonald,ihammond,63,1726135396,Updating
2023-11-11 14:25:19-08:00,2023-11-11 14:25:19-08:00,robinsondonald,ihammond,63,1726135396,Criticizing
2023-11-11 19:31:09-08:00,2023-11-11 19:31:09-08:00,robinsondonald,tasha97,65,1726166296,Updating
2023-11-11 19:42:22-08:00,2023-11-11 19:42:22-08:00,pamela21,tasha97,65,1726167311,Approving
2023-11-11 19:42:22-08:00,2023-11-11 19:42:22-08:00,pamela21,tasha97,65,1726167311,Complimenting
2023-11-13 21:23:47-08:00,2023-11-13 21:23:47-08:00,robinsondonald,pamela21,66,1728929233,Approving
2023-11-13 21:49:03-08:00,2023-11-13 21:49:03-08:00,tasha97,pamela21,66,1728962222,Approving
2023-11-13 22:05:17-08:00,2023-11-13 22:05:17-08:00,tasha97,pamela21,67,1728975845,Approving
2023-11-13 22:16:53-08:00,2023-11-13 22:16:53-08:00,robinsondonald,pamela21,67,1728986706,Empty
2023-11-22 19:46:55-08:00,2023-11-22 19:46:55-08:00,tasha97,douglascooley,69,1745667426,Approving
2023-11-22 19:47:14-08:00,2023-11-22 19:47:14-08:00,pamela21,douglascooley,69,1745667559,Approving
2023-11-24 13:56:36-08:00,2023-11-24 13:56:36-08:00,robinsondonald,douglascooley,70,1748445712,Approving
2023-11-24 13:56:36-08:00,2023-11-24 13:56:36-08:00,robinsondonald,douglascooley,70,1748445712,Criticizing
2023-11-24 14:35:18-08:00,2023-11-24 14:35:18-08:00,robinsondonald,douglascooley,70,1748455091,Approving
2023-11-24 14:35:18-08:00,2023-11-24 14:35:18-08:00,robinsondonald,douglascooley,70,1748455091,Updating
2023-11-25 16:29:29-08:00,2023-11-25 16:29:29-08:00,pamela21,douglascooley,70,1749248459,Approving
2023-11-25 16:31:40-08:00,2023-11-25 16:31:40-08:00,pamela21,douglascooley,71,1749248565,Approving
2023-11-25 16:34:07-08:00,2023-11-25 16:34:07-08:00,ihammond,douglascooley,71,1749248702,Approving
2023-11-25 17:42:39-08:00,2023-11-25 17:42:39-08:00,pamela21,douglascooley,72,1749252455,Approving
2023-11-25 17:45:41-08:00,2023-11-25 17:45:41-08:00,ihammond,douglascooley,72,1749252640,Approving
2023-11-25 18:00:08-08:00,2023-11-25 18:00:08-08:00,douglascooley,tasha97,74,1749254639,Approving
2023-11-25 18:05:03-08:00,2023-11-25 18:05:03-08:00,robinsondonald,tasha97,74,1749254960,Criticizing
2023-11-26 13:55:46-08:00,2023-11-26 13:55:46-08:00,robinsondonald,tasha97,74,1749422733,Updating
2023-11-26 13:55:46-08:00,2023-11-26 13:55:46-08:00,robinsondonald,tasha97,74,1749422733,Criticizing
2023-11-26 13:55:46-08:00,2023-11-26 13:55:46-08:00,robinsondonald,tasha97,74,1749422733,Approving
2023-11-26 21:36:37-08:00,2023-11-26 21:36:37-08:00,pamela21,douglascooley,76,1749633965,Approving
2023-11-26 21:36:50-08:00,2023-11-26 21:36:50-08:00,robinsondonald,douglascooley,76,1749634123,Encouraging
2023-11-27 13:38:41-08:00,2023-11-27 13:38:41-08:00,pamela21,robinsondonald,77,1751422205,Approving
2023-11-27 15:37:44-08:00,2023-11-27 15:37:44-08:00,douglascooley,robinsondonald,77,1751614689,Updating
2023-11-27 15:37:44-08:00,2023-11-27 15:37:44-08:00,douglascooley,robinsondonald,77,1751614689,Updating
2023-11-28 12:26:09-08:00,2023-11-28 12:26:09-08:00,robinsondonald,douglascooley,80,1753867546,Updating
2023-11-28 12:26:09-08:00,2023-11-28 12:26:09-08:00,robinsondonald,douglascooley,80,1753867546,Encouraging
2023-11-28 12:29:22-08:00,2023-11-28 12:29:22-08:00,tasha97,douglascooley,80,1753872360,Updating
2023-11-28 12:29:22-08:00,2023-11-28 12:29:22-08:00,tasha97,douglascooley,80,1753872360,Approving
2023-11-28 12:27:28-08:00,2023-11-28 12:27:28-08:00,robinsondonald,douglascooley,81,1753869521,Approving
2023-11-28 12:28:13-08:00,2023-11-28 12:28:13-08:00,tasha97,douglascooley,81,1753870725,Updating
2023-11-28 12:28:13-08:00,2023-11-28 12:28:13-08:00,tasha97,douglascooley,81,1753870725,Approving
2023-11-28 13:19:21-08:00,2023-11-28 13:19:21-08:00,tasha97,ihammond,82,1753967978,Approving
2023-11-28 13:19:24-08:00,2023-11-28 13:19:24-08:00,douglascooley,ihammond,82,1753968082,Updating
