updated_at,created_at,commenter,pr_author,pr_id,comment_id,Code
2023-10-01 12:49:05-07:00,2023-10-01 12:49:05-07:00,jeremy75,laurajames,3,1651953533,Approving
2023-10-01 12:52:26-07:00,2023-10-01 12:52:26-07:00,laurajames,jeremy75,4,1651953861,Approving
2023-10-01 12:54:46-07:00,2023-10-01 12:54:46-07:00,laurajames,jeremy75,5,1651954054,Approving
2023-10-01 13:48:58-07:00,2023-10-01 13:48:58-07:00,jeremy75,laurajames,6,1651961667,Empty
2023-10-01 13:49:41-07:00,2023-10-01 13:49:41-07:00,jeremy75,laurajames,6,1651961749,Approving
2023-10-01 16:11:34-07:00,2023-10-01 16:11:34-07:00,gmartinez,rirwin,7,1651978685,Empty
2023-10-01 16:25:11-07:00,2023-10-01 16:25:11-07:00,jeremy75,rirwin,7,1651980560,Approving
2023-10-01 16:14:44-07:00,2023-10-01 16:14:44-07:00,rirwin,gmartinez,8,1651979040,Approving
2023-10-01 16:14:44-07:00,2023-10-01 16:14:44-07:00,rirwin,gmartinez,8,1651979040,Thanking
2023-10-01 16:24:34-07:00,2023-10-01 16:24:34-07:00,jeremy75,gmartinez,8,1651980487,Approving
2023-10-01 16:14:09-07:00,2023-10-01 16:14:09-07:00,rirwin,gmartinez,9,1651978967,Approving
2023-10-01 16:14:09-07:00,2023-10-01 16:14:09-07:00,rirwin,gmartinez,9,1651978967,Thanking
2023-10-01 16:23:52-07:00,2023-10-01 16:23:52-07:00,jeremy75,gmartinez,9,1651980394,Approving
2023-10-01 21:43:44-07:00,2023-10-01 21:43:44-07:00,gmartinez,ashleymorgan,11,1652097369,Empty
2023-10-01 22:26:53-07:00,2023-10-01 22:26:53-07:00,jeremy75,ashleymorgan,11,1652121904,Approving
2023-10-01 22:30:05-07:00,2023-10-01 22:30:05-07:00,gmartinez,jeremy75,14,1652123340,Empty
2023-10-01 22:47:12-07:00,2023-10-01 22:47:12-07:00,laurajames,jeremy75,14,1652131632,Approving
2023-10-08 11:36:52-07:00,2023-10-08 11:36:52-07:00,laurajames,gmartinez,15,1663515095,Approving
2023-10-08 12:56:43-07:00,2023-10-08 12:56:43-07:00,jeremy75,gmartinez,15,1663591460,Approving
2023-10-05 13:24:42-07:00,2023-10-05 13:24:42-07:00,jeremy75,ashleymorgan,16,1660648885,Approving
2023-10-05 13:25:11-07:00,2023-10-05 13:25:11-07:00,laurajames,ashleymorgan,16,1660649529,Approving
2023-10-05 13:26:55-07:00,2023-10-05 13:26:55-07:00,jeremy75,laurajames,17,1660651909,Approving
2023-10-05 13:26:56-07:00,2023-10-05 13:26:56-07:00,ashleymorgan,laurajames,17,1660651930,Approving
2023-10-05 13:31:36-07:00,2023-10-05 13:31:36-07:00,laurajames,ashleymorgan,18,1660658278,Approving
2023-10-05 13:31:52-07:00,2023-10-05 13:31:52-07:00,jeremy75,ashleymorgan,18,1660658623,Approving
2023-10-05 13:34:02-07:00,2023-10-05 13:34:02-07:00,jeremy75,ashleymorgan,19,1660661611,Approving
2023-10-05 13:36:59-07:00,2023-10-05 13:36:59-07:00,laurajames,ashleymorgan,19,1660666470,Approving
2023-10-08 11:35:27-07:00,2023-10-08 11:35:27-07:00,laurajames,gmartinez,20,1663514927,Approving
2023-10-08 12:56:07-07:00,2023-10-08 12:56:07-07:00,jeremy75,gmartinez,20,1663591383,Empty
2023-10-08 12:59:57-07:00,2023-10-08 12:59:57-07:00,jeremy75,laurajames,22,1663593201,Approving
2023-10-08 13:22:39-07:00,2023-10-08 13:22:39-07:00,gmartinez,laurajames,22,1663596545,Empty
2023-10-08 16:57:42-07:00,2023-10-08 16:57:42-07:00,gmartinez,jeremy75,23,1663630696,Empty
2023-10-08 19:50:02-07:00,2023-10-08 19:50:02-07:00,ashleymorgan,jeremy75,23,1663674409,Approving
2023-10-08 16:56:39-07:00,2023-10-08 16:56:39-07:00,gmartinez,jeremy75,24,1663630551,Empty
2023-10-08 19:48:50-07:00,2023-10-08 19:48:50-07:00,ashleymorgan,jeremy75,24,1663673997,Approving
2023-10-08 20:41:59-07:00,2023-10-08 20:41:59-07:00,jeremy75,ashleymorgan,25,1663692142,Approving
2023-10-08 22:50:30-07:00,2023-10-08 22:50:30-07:00,gmartinez,ashleymorgan,25,1663753094,Empty
2023-10-08 23:19:53-07:00,2023-10-08 23:19:53-07:00,laurajames,jeremy75,26,1663775674,Approving
2023-10-08 23:20:46-07:00,2023-10-08 23:20:46-07:00,gmartinez,jeremy75,26,1663776489,Empty
2023-10-08 23:23:03-07:00,2023-10-08 23:23:03-07:00,gmartinez,jeremy75,27,1663778599,Empty
2023-10-08 23:24:21-07:00,2023-10-08 23:24:21-07:00,laurajames,jeremy75,27,1663779837,Approving
2023-10-08 23:34:29-07:00,2023-10-08 23:34:29-07:00,laurajames,jeremy75,28,1663790261,Approving
2023-10-08 23:35:18-07:00,2023-10-08 23:35:18-07:00,gmartinez,jeremy75,28,1663792803,Empty
2023-10-08 23:35:04-07:00,2023-10-08 23:35:04-07:00,laurajames,jeremy75,29,1663791860,Approving
2023-10-08 23:35:52-07:00,2023-10-08 23:35:52-07:00,gmartinez,jeremy75,29,1663793784,Empty
2023-10-14 13:25:18-07:00,2023-10-14 13:25:18-07:00,laurajames,gmartinez,31,1678457286,Updating
2023-10-14 13:25:18-07:00,2023-10-14 13:25:18-07:00,laurajames,gmartinez,31,1678457286,Approving
2023-10-14 13:26:21-07:00,2023-10-14 13:26:21-07:00,jeremy75,gmartinez,31,1678457564,Approving
2023-10-14 13:46:32-07:00,2023-10-14 13:46:32-07:00,jeremy75,gmartinez,32,1678463350,Approving
2023-10-14 13:47:55-07:00,2023-10-14 13:47:55-07:00,rirwin,gmartinez,32,1678463461,Approving
2023-10-14 13:48:19-07:00,2023-10-14 13:48:19-07:00,rirwin,gmartinez,32,1678463505,Approving
2023-10-14 14:12:41-07:00,2023-10-14 14:12:41-07:00,laurajames,gmartinez,35,1678474310,Approving
2023-10-14 14:14:17-07:00,2023-10-14 14:14:17-07:00,jeremy75,gmartinez,35,1678474431,Empty
2023-10-14 14:23:15-07:00,2023-10-14 14:23:15-07:00,laurajames,gmartinez,36,1678476284,Approving
2023-10-14 14:24:48-07:00,2023-10-14 14:24:48-07:00,rirwin,gmartinez,36,1678476545,Approving
2023-10-14 14:26:27-07:00,2023-10-14 14:26:27-07:00,laurajames,gmartinez,37,1678476817,Approving
2023-10-14 14:26:27-07:00,2023-10-14 14:26:27-07:00,laurajames,gmartinez,37,1678476817,Approving
2023-10-14 14:26:56-07:00,2023-10-14 14:26:56-07:00,jeremy75,gmartinez,37,1678476847,Approving
2023-10-14 18:59:00-07:00,2023-10-14 18:59:00-07:00,gmartinez,jeremy75,42,1678549188,Empty
2023-10-14 18:59:16-07:00,2023-10-14 18:59:16-07:00,laurajames,jeremy75,42,1678549213,Approving
2023-10-14 19:14:46-07:00,2023-10-14 19:14:46-07:00,gmartinez,rirwin,44,1678554674,Empty
2023-10-14 19:15:48-07:00,2023-10-14 19:15:48-07:00,laurajames,rirwin,44,1678554885,Approving
2023-10-14 20:39:11-07:00,2023-10-14 20:39:11-07:00,gmartinez,laurajames,45,1678622830,Empty
2023-10-14 20:39:14-07:00,2023-10-14 20:39:14-07:00,jeremy75,laurajames,45,1678622834,Approving
2023-10-15 18:24:36-07:00,2023-10-15 18:24:36-07:00,laurajames,gmartinez,46,1678944438,Approving
2023-10-15 18:33:33-07:00,2023-10-15 18:33:33-07:00,jeremy75,gmartinez,46,1678948556,Approving
2023-10-16 18:16:48-07:00,2023-10-16 18:16:48-07:00,gmartinez,jeremy75,48,1681164474,Empty
2023-10-16 22:33:32-07:00,2023-10-16 22:33:32-07:00,laurajames,jeremy75,48,1681394523,Approving
2023-10-18 18:56:12-07:00,2023-10-18 18:56:12-07:00,laurajames,gmartinez,49,1686519000,Approving
2023-10-18 18:59:36-07:00,2023-10-18 18:59:36-07:00,rirwin,gmartinez,49,1686521210,Approving
2023-10-18 19:55:07-07:00,2023-10-18 19:55:07-07:00,gmartinez,rirwin,51,1686570634,Empty
2023-10-18 19:59:15-07:00,2023-10-18 19:59:15-07:00,jeremy75,rirwin,51,1686573466,Approving
2023-10-18 19:57:30-07:00,2023-10-18 19:57:30-07:00,gmartinez,jeremy75,52,1686572274,Empty
2023-10-18 20:53:42-07:00,2023-10-18 20:53:42-07:00,gmartinez,laurajames,53,1686610439,Empty
2023-10-18 20:59:21-07:00,2023-10-18 20:59:21-07:00,jeremy75,laurajames,53,1686613922,Approving
2023-10-18 21:00:17-07:00,2023-10-18 21:00:17-07:00,gmartinez,jeremy75,54,1686614543,Empty
2023-10-18 21:00:28-07:00,2023-10-18 21:00:28-07:00,laurajames,jeremy75,54,1686614663,Approving
2023-10-18 21:52:51-07:00,2023-10-18 21:52:51-07:00,laurajames,gmartinez,55,1686654689,Approving
2023-10-18 21:53:24-07:00,2023-10-18 21:53:24-07:00,jeremy75,gmartinez,55,1686655145,Approving
2023-10-21 15:53:02-07:00,2023-10-21 15:53:02-07:00,laurajames,gmartinez,56,1691345786,Approving
2023-10-21 20:44:12-07:00,2023-10-21 20:44:12-07:00,jeremy75,gmartinez,56,1691366207,Approving
2023-10-22 14:59:33-07:00,2023-10-22 14:59:33-07:00,jeremy75,rirwin,57,1691496224,Approving
2023-10-22 15:01:57-07:00,2023-10-22 15:01:57-07:00,gmartinez,rirwin,57,1691496521,Empty
2023-10-22 14:59:37-07:00,2023-10-22 14:59:37-07:00,rirwin,jeremy75,60,1691496238,Approving
2023-10-22 15:03:03-07:00,2023-10-22 15:03:03-07:00,gmartinez,jeremy75,60,1691496655,Empty
