updated_at,created_at,commenter,pr_author,pr_id,comment_id,Code
2023-10-08 16:12:58-07:00,2023-10-08 16:12:58-07:00,jacobskristi,kelsey11,23,1663616897,Approving
2023-10-08 17:12:23-07:00,2023-10-08 17:12:23-07:00,susanroman,kelsey11,23,1663633377,Empty
2023-10-08 19:26:19-07:00,2023-10-08 19:26:19-07:00,pennyyoung,kelsey11,23,1663666941,Empty
2023-10-08 23:26:57-07:00,2023-10-08 23:26:57-07:00,jacobskristi,susanroman,24,1663782275,Approving
2023-10-08 23:42:35-07:00,2023-10-08 23:42:35-07:00,kelsey11,susanroman,24,1663800488,Empty
2023-10-08 23:37:13-07:00,2023-10-08 23:37:13-07:00,susanroman,jacobskristi,26,1663795081,Empty
2023-10-08 23:41:25-07:00,2023-10-08 23:41:25-07:00,kelsey11,jacobskristi,26,1663799329,Approving
2023-10-08 23:41:53-07:00,2023-10-08 23:41:53-07:00,kelsey11,jacobskristi,26,1663799772,Empty
2023-10-12 13:08:30-07:00,2023-10-12 13:08:30-07:00,qrodriguez,jacobskristi,28,1675098602,Approving
2023-10-15 11:31:47-07:00,2023-10-15 11:31:47-07:00,kelsey11,jacobskristi,28,1678842355,Approving
2023-10-15 22:50:05-07:00,2023-10-15 22:50:05-07:00,susanroman,jacobskristi,28,1679149460,Empty
2023-10-21 11:36:26-07:00,2023-10-21 11:36:26-07:00,pennyyoung,jacobskristi,34,1691318054,Approving
2023-10-21 11:37:13-07:00,2023-10-21 11:37:13-07:00,qrodriguez,jacobskristi,34,1691318144,Approving
2023-10-22 23:33:30-07:00,2023-10-22 23:33:30-07:00,qrodriguez,jacobskristi,36,1691794275,Approving
2023-10-22 23:33:54-07:00,2023-10-22 23:33:54-07:00,jacobskristi,jacobskristi,36,1691794682,Approving
2023-10-23 00:01:24-07:00,2023-10-23 00:01:24-07:00,pennyyoung,jacobskristi,36,1691829915,Approving
2023-10-23 00:02:10-07:00,2023-10-23 00:02:10-07:00,pennyyoung,jacobskristi,36,1691830877,Empty
2023-10-23 00:04:01-07:00,2023-10-23 00:04:01-07:00,susanroman,jacobskristi,36,1691833441,Empty
2023-10-29 20:49:24-07:00,2023-10-29 20:49:24-07:00,susanroman,jacobskristi,49,1703212255,Empty
2023-10-29 20:50:51-07:00,2023-10-29 20:50:51-07:00,kelsey11,jacobskristi,49,1703213174,Empty
2023-11-05 23:12:13-08:00,2023-11-05 23:12:13-08:00,pennyyoung,jacobskristi,58,1714391123,Approving
2023-11-05 23:25:30-08:00,2023-11-05 23:25:30-08:00,qrodriguez,jacobskristi,58,1714408688,Approving
2023-11-05 23:28:24-08:00,2023-11-05 23:28:24-08:00,pennyyoung,jacobskristi,59,1714414136,Approving
2023-11-05 23:28:57-08:00,2023-11-05 23:28:57-08:00,susanroman,jacobskristi,59,1714415100,Empty
2023-11-12 23:03:37-08:00,2023-11-12 23:03:37-08:00,qrodriguez,jacobskristi,71,1726637666,Approving
2023-11-12 23:03:37-08:00,2023-11-12 23:03:37-08:00,qrodriguez,jacobskristi,71,1726637666,Updating
2023-11-12 23:48:47-08:00,2023-11-12 23:48:47-08:00,pennyyoung,jacobskristi,71,1726685385,Approving
2023-11-12 23:48:47-08:00,2023-11-12 23:48:47-08:00,pennyyoung,jacobskristi,71,1726685385,Updating
2023-11-12 22:45:37-08:00,2023-11-12 22:45:37-08:00,kelsey11,jacobskristi,72,1726622431,Updating
2023-11-12 23:01:12-08:00,2023-11-12 23:01:12-08:00,qrodriguez,jacobskristi,72,1726635585,Approving
2023-11-12 23:01:12-08:00,2023-11-12 23:01:12-08:00,qrodriguez,jacobskristi,72,1726635585,Updating
2023-11-12 23:58:14-08:00,2023-11-12 23:58:14-08:00,jacobskristi,pennyyoung,73,1726697994,Approving
2023-11-12 23:58:14-08:00,2023-11-12 23:58:14-08:00,jacobskristi,pennyyoung,73,1726697994,Explaining
2023-11-12 23:58:27-08:00,2023-11-12 23:58:27-08:00,jacobskristi,pennyyoung,73,1726698284,Empty
