updated_at,created_at,commenter,pr_author,pr_id,comment_id,Code
2023-10-05 23:02:32-07:00,2023-10-05 23:02:32-07:00,kjackson,joseph50,21,1661164088,Criticizing
2023-10-05 23:02:32-07:00,2023-10-05 23:02:32-07:00,kjackson,joseph50,21,1661164088,Directing
2023-10-07 01:40:57-07:00,2023-10-07 01:40:57-07:00,kjackson,joseph50,22,1663024649,Approving
2023-10-07 16:23:23-07:00,2023-10-07 16:23:23-07:00,charlesmoore,joseph50,22,1663120637,Approving
2023-10-08 22:24:27-07:00,2023-10-08 22:24:27-07:00,gabriellerosales,kjackson,24,1663737688,Approving
2023-10-08 22:51:22-07:00,2023-10-08 22:51:22-07:00,joseph50,kjackson,24,1663753659,Approving
2023-10-22 18:03:08-07:00,2023-10-22 18:03:08-07:00,charlesmoore,bwilliams,25,1691558806,Approving
2023-10-22 18:03:08-07:00,2023-10-22 18:03:08-07:00,charlesmoore,bwilliams,25,1691558806,Approving
2023-10-22 18:23:23-07:00,2023-10-22 18:23:23-07:00,gabriellerosales,bwilliams,25,1691567987,Approving
2023-10-22 18:23:23-07:00,2023-10-22 18:23:23-07:00,gabriellerosales,bwilliams,25,1691567987,Complimenting
2023-10-22 23:54:58-07:00,2023-10-22 23:54:58-07:00,bwilliams,charlesmoore,26,1691821305,Approving
2023-10-30 21:42:06-07:00,2023-10-30 21:42:06-07:00,kjackson,charlesmoore,26,1705435981,Approving
2023-10-22 23:52:04-07:00,2023-10-22 23:52:04-07:00,bwilliams,joseph50,27,1691816691,Approving
2023-10-22 23:52:04-07:00,2023-10-22 23:52:04-07:00,bwilliams,joseph50,27,1691816691,Approving
2023-10-23 08:22:44-07:00,2023-10-23 08:22:44-07:00,gabriellerosales,joseph50,27,1692865562,Approving
2023-10-22 23:49:54-07:00,2023-10-22 23:49:54-07:00,bwilliams,charlesmoore,28,1691813984,Approving
2023-10-22 23:49:54-07:00,2023-10-22 23:49:54-07:00,bwilliams,charlesmoore,28,1691813984,Approving
2023-10-22 23:49:54-07:00,2023-10-22 23:49:54-07:00,bwilliams,charlesmoore,28,1691813984,Criticizing
2023-10-23 21:01:45-07:00,2023-10-23 21:01:45-07:00,bwilliams,kjackson,29,1693999953,Approving
2023-10-23 21:01:45-07:00,2023-10-23 21:01:45-07:00,bwilliams,kjackson,29,1693999953,Updating
2023-10-23 21:14:57-07:00,2023-10-23 21:14:57-07:00,joseph50,kjackson,29,1694007258,Empty
2023-10-24 13:23:35-07:00,2023-10-24 13:23:35-07:00,bwilliams,charlesmoore,30,1695817444,Approving
2023-10-24 13:24:12-07:00,2023-10-24 13:24:12-07:00,gabriellerosales,charlesmoore,30,1695818319,Criticizing
2023-10-28 15:31:39-07:00,2023-10-28 15:31:39-07:00,bwilliams,kjackson,32,1702858632,Approving
2023-10-28 15:31:39-07:00,2023-10-28 15:31:39-07:00,bwilliams,kjackson,32,1702858632,Encouraging
2023-10-29 14:28:42-07:00,2023-10-29 14:28:42-07:00,kjackson,bwilliams,36,1703039299,Approving
2023-10-29 14:28:42-07:00,2023-10-29 14:28:42-07:00,kjackson,bwilliams,36,1703039299,Updating
2023-10-29 14:32:25-07:00,2023-10-29 14:32:25-07:00,gabriellerosales,bwilliams,36,1703039737,Updating
2023-10-30 21:34:01-07:00,2023-10-30 21:34:01-07:00,bwilliams,charlesmoore,41,1705430487,Approving
2023-10-30 21:34:01-07:00,2023-10-30 21:34:01-07:00,bwilliams,charlesmoore,41,1705430487,Directing
2023-10-30 22:02:31-07:00,2023-10-30 22:02:31-07:00,kjackson,charlesmoore,41,1705450844,Updating
2023-10-30 22:02:31-07:00,2023-10-30 22:02:31-07:00,kjackson,charlesmoore,41,1705450844,Updating
2023-10-30 22:02:31-07:00,2023-10-30 22:02:31-07:00,kjackson,charlesmoore,41,1705450844,Updating
2023-10-30 22:02:31-07:00,2023-10-30 22:02:31-07:00,kjackson,charlesmoore,41,1705450844,Approving
2023-10-30 22:20:25-07:00,2023-10-30 22:20:25-07:00,kjackson,charlesmoore,41,1705466581,Criticizing
2023-11-14 00:11:25-08:00,2023-11-14 00:11:25-08:00,bwilliams,charlesmoore,41,1729124668,Criticizing
2023-11-14 00:11:25-08:00,2023-11-14 00:11:25-08:00,bwilliams,charlesmoore,41,1729124668,Directing
2023-11-14 00:11:25-08:00,2023-11-14 00:11:25-08:00,bwilliams,charlesmoore,41,1729124668,Criticizing
2023-11-14 00:11:25-08:00,2023-11-14 00:11:25-08:00,bwilliams,charlesmoore,41,1729124668,Directing
2023-11-20 22:02:19-08:00,2023-11-20 22:02:19-08:00,bwilliams,charlesmoore,41,1741174459,Empty
2023-11-20 22:03:59-08:00,2023-11-20 22:03:59-08:00,bwilliams,charlesmoore,41,1741176063,Updating
2023-11-20 22:03:59-08:00,2023-11-20 22:03:59-08:00,bwilliams,charlesmoore,41,1741176063,Approving
2023-11-20 22:03:59-08:00,2023-11-20 22:03:59-08:00,bwilliams,charlesmoore,41,1741176063,Updating
2023-11-20 22:03:59-08:00,2023-11-20 22:03:59-08:00,bwilliams,charlesmoore,41,1741176063,Directing
2023-11-21 12:17:40-08:00,2023-11-21 12:17:40-08:00,bwilliams,charlesmoore,41,1743004514,Thanking
2023-11-21 12:17:40-08:00,2023-11-21 12:17:40-08:00,bwilliams,charlesmoore,41,1743004514,Approving
2023-11-21 12:47:03-08:00,2023-11-21 12:47:03-08:00,kjackson,charlesmoore,41,1743052444,Updating
2023-11-21 12:47:03-08:00,2023-11-21 12:47:03-08:00,kjackson,charlesmoore,41,1743052444,Updating
2023-11-21 12:47:03-08:00,2023-11-21 12:47:03-08:00,kjackson,charlesmoore,41,1743052444,Updating
2023-11-21 12:47:03-08:00,2023-11-21 12:47:03-08:00,kjackson,charlesmoore,41,1743052444,Approving
2023-11-21 18:56:14-08:00,2023-11-21 18:56:14-08:00,gabriellerosales,charlesmoore,41,1743468275,Updating
2023-11-21 18:56:14-08:00,2023-11-21 18:56:14-08:00,gabriellerosales,charlesmoore,41,1743468275,Approving
2023-11-21 18:56:14-08:00,2023-11-21 18:56:14-08:00,gabriellerosales,charlesmoore,41,1743468275,Complimenting
2023-10-30 22:03:51-07:00,2023-10-30 22:03:51-07:00,kjackson,bwilliams,42,1705452237,Approving
2023-10-30 22:43:18-07:00,2023-10-30 22:43:18-07:00,charlesmoore,bwilliams,42,1705485118,Approving
2023-10-30 22:43:18-07:00,2023-10-30 22:43:18-07:00,charlesmoore,bwilliams,42,1705485118,Encouraging
2023-10-31 00:17:45-07:00,2023-10-31 00:17:45-07:00,charlesmoore,kjackson,44,1705588274,Approving
2023-10-31 08:29:12-07:00,2023-10-31 08:29:12-07:00,bwilliams,kjackson,44,1706616713,Encouraging
2023-10-31 08:29:12-07:00,2023-10-31 08:29:12-07:00,bwilliams,kjackson,44,1706616713,Approving
2023-11-05 23:14:58-08:00,2023-11-05 23:14:58-08:00,kjackson,charlesmoore,46,1714394719,Approving
2023-11-05 23:23:09-08:00,2023-11-05 23:23:09-08:00,joseph50,charlesmoore,46,1714404338,Approving
2023-11-06 18:40:24-08:00,2023-11-06 18:40:24-08:00,gabriellerosales,bwilliams,47,1716684481,Complimenting
2023-11-06 18:40:24-08:00,2023-11-06 18:40:24-08:00,gabriellerosales,bwilliams,47,1716684481,Complimenting
2023-11-13 22:10:46-08:00,2023-11-13 22:10:46-08:00,charlesmoore,bwilliams,48,1728980831,Approving
2023-11-13 22:10:46-08:00,2023-11-13 22:10:46-08:00,charlesmoore,bwilliams,48,1728980831,Approving
2023-11-14 18:57:56-08:00,2023-11-14 18:57:56-08:00,gabriellerosales,bwilliams,48,1731157460,Updating
2023-11-14 14:21:38-08:00,2023-11-14 14:21:38-08:00,charlesmoore,bwilliams,49,1730923575,Approving
2023-11-14 18:56:55-08:00,2023-11-14 18:56:55-08:00,gabriellerosales,bwilliams,49,1731156774,Approving
2023-11-21 22:06:45-08:00,2023-11-21 22:06:45-08:00,bwilliams,joseph50,50,1743622641,Approving
2023-11-21 22:06:45-08:00,2023-11-21 22:06:45-08:00,bwilliams,joseph50,50,1743622641,Directing
2023-11-21 22:06:45-08:00,2023-11-21 22:06:45-08:00,bwilliams,joseph50,50,1743622641,Suggesting
2023-11-22 18:05:41-08:00,2023-11-22 18:05:41-08:00,gabriellerosales,joseph50,50,1745611431,Agreeing
2023-11-22 18:05:41-08:00,2023-11-22 18:05:41-08:00,gabriellerosales,joseph50,50,1745611431,Directing
2023-11-22 18:05:41-08:00,2023-11-22 18:05:41-08:00,gabriellerosales,joseph50,50,1745611431,Approving
2023-11-21 18:07:23-08:00,2023-11-21 18:07:23-08:00,kjackson,bwilliams,52,1743434534,Updating
2023-11-21 18:07:23-08:00,2023-11-21 18:07:23-08:00,kjackson,bwilliams,52,1743434534,Updating
2023-11-21 18:07:23-08:00,2023-11-21 18:07:23-08:00,kjackson,bwilliams,52,1743434534,Approving
2023-11-26 16:32:51-08:00,2023-11-26 16:32:51-08:00,gabriellerosales,bwilliams,55,1749463884,Complimenting
2023-11-26 16:32:51-08:00,2023-11-26 16:32:51-08:00,gabriellerosales,bwilliams,55,1749463884,Approving
2023-11-26 16:32:51-08:00,2023-11-26 16:32:51-08:00,gabriellerosales,bwilliams,55,1749463884,Directing
2023-11-26 16:32:51-08:00,2023-11-26 16:32:51-08:00,gabriellerosales,bwilliams,55,1749463884,Complimenting
2023-11-27 12:16:58-08:00,2023-11-27 12:16:58-08:00,kjackson,bwilliams,55,1751276940,Approving
2023-11-27 12:16:58-08:00,2023-11-27 12:16:58-08:00,kjackson,bwilliams,55,1751276940,Updating
2023-11-26 14:02:48-08:00,2023-11-26 14:02:48-08:00,bwilliams,gabriellerosales,57,1749423771,Approving
2023-11-26 14:02:48-08:00,2023-11-26 14:02:48-08:00,bwilliams,gabriellerosales,57,1749423771,Approving
2023-11-26 14:02:48-08:00,2023-11-26 14:02:48-08:00,bwilliams,gabriellerosales,57,1749423771,Updating
2023-11-26 14:02:48-08:00,2023-11-26 14:02:48-08:00,bwilliams,gabriellerosales,57,1749423771,Directing
2023-11-26 18:45:08-08:00,2023-11-26 18:45:08-08:00,bwilliams,gabriellerosales,57,1749525593,Complimenting
2023-12-01 19:29:39-08:00,2023-12-01 19:29:39-08:00,kjackson,gabriellerosales,57,1760768442,Directing
2023-12-01 19:29:39-08:00,2023-12-01 19:29:39-08:00,kjackson,gabriellerosales,57,1760768442,Criticizing
2023-12-01 19:29:40-08:00,2023-12-01 19:13:33-08:00,kjackson,gabriellerosales,57,1412711692,Directing
2023-12-01 20:21:35-08:00,2023-12-01 20:21:35-08:00,kjackson,gabriellerosales,57,1760775800,Empty
2023-12-01 20:21:35-08:00,2023-12-01 20:21:35-08:00,kjackson,gabriellerosales,57,1412719099,Directing
2023-12-01 20:22:54-08:00,2023-12-01 20:22:54-08:00,kjackson,gabriellerosales,57,1760775949,Approving
2023-11-26 22:02:51-08:00,2023-11-26 22:02:51-08:00,bwilliams,charlesmoore,59,1749655318,Approving
2023-11-26 22:37:47-08:00,2023-11-26 22:37:47-08:00,kjackson,charlesmoore,59,1749699716,Approving
2023-12-03 00:02:18-08:00,2023-12-03 00:02:18-08:00,bwilliams,kjackson,64,1761152766,Complimenting
2023-12-03 00:02:18-08:00,2023-12-03 00:02:18-08:00,bwilliams,kjackson,64,1761152766,Approving
2023-12-03 00:02:18-08:00,2023-12-03 00:02:18-08:00,bwilliams,kjackson,64,1761152766,Complimenting
2023-12-03 00:02:18-08:00,2023-12-03 00:02:18-08:00,bwilliams,kjackson,64,1761152766,Updating
2023-12-03 14:33:25-08:00,2023-12-03 14:33:25-08:00,gabriellerosales,kjackson,64,1761382004,Approving
2023-12-03 14:33:25-08:00,2023-12-03 14:33:25-08:00,gabriellerosales,kjackson,64,1761382004,Complimenting
2023-12-03 14:33:25-08:00,2023-12-03 14:33:25-08:00,gabriellerosales,kjackson,64,1761382004,Approving
2023-12-03 13:56:22-08:00,2023-12-03 13:56:22-08:00,bwilliams,charlesmoore,68,1761374004,Empty
2023-12-03 13:56:22-08:00,2023-12-03 13:56:22-08:00,bwilliams,charlesmoore,68,1413214559,Asking
2023-12-03 18:01:42-08:00,2023-12-03 18:01:42-08:00,kjackson,charlesmoore,68,1413293588,Explaining
2023-12-03 18:01:42-08:00,2023-12-03 18:01:42-08:00,kjackson,charlesmoore,68,1413293588,Explaining
2023-12-03 18:01:42-08:00,2023-12-03 18:01:42-08:00,kjackson,charlesmoore,68,1761484714,Empty
