updated_at,created_at,commenter,pr_author,pr_id,comment_id,Code
2023-10-01 08:52:18-07:00,2023-10-01 08:52:18-07:00,rsmall,hlawrence,3,1651925130,Empty
2023-10-01 08:58:16-07:00,2023-10-01 08:58:16-07:00,rsmall,hlawrence,3,1651927117,Approving
2023-10-01 15:05:49-07:00,2023-10-01 15:05:49-07:00,bradley45,hlawrence,3,1651970683,Suggesting
2023-10-01 16:48:28-07:00,2023-10-01 16:48:28-07:00,bradley45,hlawrence,3,1651983912,Approving
2023-10-01 18:40:20-07:00,2023-10-01 18:40:20-07:00,oarellano,rsmall,7,1652021552,Approving
2023-10-01 19:34:48-07:00,2023-10-01 19:34:48-07:00,robertcarr,rsmall,7,1652044197,Empty
2023-10-01 20:56:42-07:00,2023-10-01 20:56:42-07:00,hlawrence,rsmall,9,1652077271,Approving
2023-10-01 20:57:15-07:00,2023-10-01 20:57:15-07:00,bradley45,rsmall,9,1652077502,Complimenting
2023-10-01 20:36:31-07:00,2023-10-01 20:36:31-07:00,rsmall,hlawrence,12,1652068932,Criticizing
2023-10-01 20:36:31-07:00,2023-10-01 20:36:31-07:00,rsmall,hlawrence,12,1652068932,Approving
2023-10-01 20:37:05-07:00,2023-10-01 20:37:05-07:00,robertcarr,hlawrence,12,1652069138,Complimenting
2023-10-01 20:45:31-07:00,2023-10-01 20:45:31-07:00,oarellano,rsmall,14,1652072948,Encouraging
2023-10-01 20:45:31-07:00,2023-10-01 20:45:31-07:00,oarellano,rsmall,14,1652072948,Approving
2023-10-01 21:01:02-07:00,2023-10-01 21:01:02-07:00,hlawrence,rsmall,14,1652078900,Approving
2023-10-01 21:03:20-07:00,2023-10-01 21:03:20-07:00,bradley45,rsmall,14,1652079831,Encouraging
2023-10-01 20:54:15-07:00,2023-10-01 20:54:15-07:00,rsmall,hlawrence,15,1652076304,Approving
2023-10-01 20:59:00-07:00,2023-10-01 20:59:00-07:00,oarellano,hlawrence,15,1652078131,Approving
2023-10-01 21:00:12-07:00,2023-10-01 21:00:12-07:00,bradley45,hlawrence,15,1652078587,Approving
2023-10-01 21:04:57-07:00,2023-10-01 21:04:57-07:00,robertcarr,hlawrence,15,1652080493,Approving
2023-10-01 21:02:13-07:00,2023-10-01 21:02:13-07:00,hlawrence,oarellano,16,1652079342,Approving
