updated_at,created_at,commenter,pr_author,pr_id,comment_id,Code
2023-10-01 22:53:13-07:00,2023-10-01 22:53:13-07:00,combsjerry,lewisbryan,13,1652134713,Approving
2023-10-01 23:18:46-07:00,2023-10-01 23:18:46-07:00,brittney30,lewisbryan,13,1652150425,Approving
2023-10-01 23:23:26-07:00,2023-10-01 23:23:26-07:00,lewisbryan,brittney30,14,1652153725,Approving
2023-10-01 23:24:58-07:00,2023-10-01 23:24:58-07:00,combsjerry,brittney30,14,1652154808,Complimenting
2023-10-01 23:27:31-07:00,2023-10-01 23:27:31-07:00,ymejia,lewisbryan,15,1652156664,Approving
2023-10-01 23:27:31-07:00,2023-10-01 23:27:31-07:00,ymejia,lewisbryan,15,1652156664,Criticizing
2023-10-01 23:27:31-07:00,2023-10-01 23:27:31-07:00,ymejia,lewisbryan,15,1652156664,Updating
2023-10-01 23:27:31-07:00,2023-10-01 23:27:31-07:00,ymejia,lewisbryan,15,1652156664,Approving
2023-10-01 23:35:43-07:00,2023-10-01 23:35:43-07:00,combsjerry,lewisbryan,15,1652170115,Approving
2023-10-01 23:29:48-07:00,2023-10-01 23:29:48-07:00,lewisbryan,ymejia,16,1652163155,Approving
2023-10-01 23:35:15-07:00,2023-10-01 23:35:15-07:00,combsjerry,ymejia,16,1652169711,Approving
2023-10-01 23:34:41-07:00,2023-10-01 23:34:41-07:00,lewisbryan,combsjerry,17,1652169262,Approving
2023-10-01 23:36:46-07:00,2023-10-01 23:36:46-07:00,brittney30,combsjerry,17,1652170967,Approving
2023-10-01 23:34:46-07:00,2023-10-01 23:34:46-07:00,combsjerry,brittney30,18,1652169320,Approving
2023-10-01 23:34:58-07:00,2023-10-01 23:34:58-07:00,lewisbryan,brittney30,18,1652169478,Approving
2023-10-01 23:43:53-07:00,2023-10-01 23:43:53-07:00,brittney30,combsjerry,19,1652176939,Approving
2023-10-01 23:43:53-07:00,2023-10-01 23:43:53-07:00,brittney30,combsjerry,19,1652176939,Complimenting
2023-10-01 23:49:00-07:00,2023-10-01 23:49:00-07:00,brittney30,combsjerry,19,1652181552,Approving
2023-10-01 23:49:37-07:00,2023-10-01 23:49:37-07:00,lewisbryan,combsjerry,19,1652182071,Approving
2023-10-01 23:58:06-07:00,2023-10-01 23:58:06-07:00,brittney30,combsjerry,20,1652190206,Approving
2023-10-03 13:16:14-07:00,2023-10-03 13:16:14-07:00,brittney30,ymejia,22,1656054146,Approving
2023-10-03 13:16:54-07:00,2023-10-03 13:16:54-07:00,lewisbryan,ymejia,22,1656055313,Approving
2023-10-03 14:16:29-07:00,2023-10-03 14:16:29-07:00,lewisbryan,ymejia,23,1656146313,Approving
2023-10-03 14:16:39-07:00,2023-10-03 14:16:39-07:00,brittney30,ymejia,23,1656146526,Approving
2023-10-03 14:24:34-07:00,2023-10-03 14:24:34-07:00,brittney30,ymejia,24,1656157964,Approving
2023-10-03 14:37:20-07:00,2023-10-03 14:37:20-07:00,combsjerry,ymejia,24,1656171830,Approving
2023-10-05 12:28:20-07:00,2023-10-05 12:28:20-07:00,brittney30,ymejia,25,1660562271,Approving
2023-10-05 12:29:02-07:00,2023-10-05 12:29:02-07:00,lewisbryan,ymejia,25,1660563256,Approving
2023-10-06 22:59:09-07:00,2023-10-06 22:59:09-07:00,ymejia,lewisbryan,41,1663004180,Approving
2023-10-06 22:59:09-07:00,2023-10-06 22:59:09-07:00,ymejia,lewisbryan,41,1663004180,Updating
2023-10-07 13:43:05-07:00,2023-10-07 13:43:05-07:00,combsjerry,lewisbryan,41,1663107191,Approving
2023-10-08 16:31:00-07:00,2023-10-08 16:31:00-07:00,combsjerry,ymejia,46,1663619551,Complimenting
2023-10-08 16:39:23-07:00,2023-10-08 16:39:23-07:00,lewisbryan,ymejia,46,1663620935,Approving
2023-10-08 16:53:07-07:00,2023-10-08 16:53:07-07:00,lewisbryan,ymejia,47,1663625985,Updating
2023-10-08 16:56:32-07:00,2023-10-08 16:56:32-07:00,combsjerry,ymejia,47,1663630523,Approving
2023-10-08 17:11:00-07:00,2023-10-08 17:11:00-07:00,combsjerry,ymejia,48,1663633131,Empty
2023-10-08 17:12:01-07:00,2023-10-08 17:12:01-07:00,combsjerry,ymejia,48,1663633305,Approving
2023-10-08 17:12:01-07:00,2023-10-08 17:12:01-07:00,combsjerry,ymejia,48,1663633305,Updating
2023-10-08 17:14:25-07:00,2023-10-08 17:14:25-07:00,lewisbryan,ymejia,48,1663633781,Approving
2023-10-08 17:13:57-07:00,2023-10-08 17:13:57-07:00,lewisbryan,combsjerry,49,1663633665,Updating
2023-10-08 17:22:14-07:00,2023-10-08 17:22:14-07:00,ymejia,combsjerry,49,1663635253,Directing
2023-10-08 17:37:17-07:00,2023-10-08 17:37:17-07:00,brittney30,combsjerry,49,1663638113,Approving
2023-10-08 17:37:48-07:00,2023-10-08 17:37:48-07:00,ymejia,combsjerry,49,1663638199,Approving
2023-10-08 17:37:48-07:00,2023-10-08 17:37:48-07:00,ymejia,combsjerry,49,1663638199,Updating
2023-10-08 17:23:13-07:00,2023-10-08 17:23:13-07:00,brittney30,lewisbryan,50,1663635441,Approving
2023-10-08 17:39:22-07:00,2023-10-08 17:39:22-07:00,ymejia,lewisbryan,50,1663638523,Approving
2023-10-08 17:38:59-07:00,2023-10-08 17:38:59-07:00,ymejia,brittney30,51,1663638443,Approving
2023-10-08 17:55:38-07:00,2023-10-08 17:55:38-07:00,lewisbryan,brittney30,51,1663641798,Updating
2023-10-08 17:59:04-07:00,2023-10-08 17:59:04-07:00,lewisbryan,brittney30,52,1663642516,Approving
